Year,Region,crop_type,Area_cultivatedHa,Productionkg,Yeild_kg/ha
2010-01-01,Oromiya,Wheat,857603.04,1678241527,1957
1996-01-01,Amhara,Maize,289690.0,566729000,1956
2012-01-01,Amhara,Sorghum,733017.68,1432067373,1954
2016-01-01,Gambela,Maize,4080.02,7969537,1953
2020-01-01,S.N.N.P.R,Barely,89967.31,175567149,1951
2014-01-01,Amhara,Millet,236680.54,461839493,1951
1997-01-01,S.N.N.P.R,Wheat,64340.0,125494000,1950
1996-01-01,Benushangul Gumuz,Maize,20550.0,40001000,1947
2010-01-01,Oromiya,Sorghum,754878.14,1465676728,1942
2019-01-01,S.N.N.P.R,Barely,93643.58,181893969,1942
2013-01-01,Amhara,Sorghum,578276.4,1122766952,1942
2011-01-01,Oromiya,Wheat,815975.59,1583211946,1940
2013-01-01,Benushangul Gumuz,Sorghum,65933.36,130995716,1940
2010-01-01,S.N.N.P.R,Maize,278927.61,539079421,1933
2021-01-01,Oromiya,Teff,1393455.62,2690467012,1931
2000-01-01,Oromiya,Maize,747550.0,1443799000,1931
2018-01-01,DIRE DAWA,Sorghum,10820.72,20879988,1930
2021-01-01,Amhara,Teff,1086374.6,2096462906,1930
2012-01-01,Harari,Sorghum,7701.89,14851094,1928
2015-01-01,Oromiya,Oats,22369.93,42990350,1922
2011-01-01,Tigray,Wheat,100175.69,192507914,1922
2016-01-01,Oromiya,Oats,18685.46,35777129,1915
2022-01-01,Amhara,Teff,1177078.03,2254030137,1915
2005-01-01,Afar,Maize,6863.0,13131100,1913
2009-01-01,S.N.N.P.R,Wheat,113660.3,217003280,1909
2000-01-01,Afar,Maize,6390.0,12190000,1908
2000-01-01,Gambela,Sorghum,5310.0,10133000,1908
1997-01-01,S.N.N.P.R,Maize,163240.0,311344000,1907
2009-01-01,Oromiya,Wheat,794835.8,1515266300,1906
1999-01-01,Benushangul Gumuz,Maize,29010.0,55272000,1905
2018-01-01,S.N.N.P.R,Barely,81161.32,154504718,1904
2014-01-01,Tigray,Millet,82129.65,156317271,1903
2012-01-01,Tigray,Wheat,105308.56,200169578,1901
1996-01-01,S.N.N.P.R,Wheat,58260.0,110568000,1898
2012-01-01,Oromiya,Barely,460544.73,872051015,1894
2018-01-01,Harari,Sorghum,7316.23,13837675,1891
1999-01-01,Tigray,Maize,69870.0,131798000,1886
2009-01-01,S.N.N.P.R,Maize,280446.0,528670080,1885
2020-01-01,Oromiya,Teff,1512041.32,2845606691,1882
2021-01-01,Tigray,Barely,85431.88,160688813,1881
2020-01-01,Amhara,Teff,1201283.74,2258240600,1880
2017-01-01,Amhara,Barely,323655.73,608069113,1879
2014-01-01,DIRE DAWA,Maize,316.0,591969,1873
2015-01-01,Tigray,Wheat,108865.39,203459405,1869
2011-01-01,S.N.N.P.R,Wheat,131162.87,244601954,1865
2022-01-01,DIRE DAWA,Maize,725.0,1353733,1865
2020-01-01,Tigray,Barely,94845.64,176359549,1859
2014-01-01,S.N.N.P.R,Sorghum,118211.88,219406699,1856
1996-01-01,S.N.N.P.R,Maize,194650.0,359653000,1848
2009-01-01,Oromiya,Sorghum,677092.3,1259841300,1847
2012-01-01,Benushangul Gumuz,Sorghum,60122.37,110820634,1843
2019-01-01,Tigray,Barely,91579.93,168685384,1842
2005-01-01,Oromiya,Maize,791686.0,1452647800,1835
2013-01-01,Tigray,Wheat,111846.34,205272449,1835
2017-01-01,Benushangul Gumuz,Millet,29680.79,54448897,1834
2015-01-01,Harari,Sorghum,7304.98,13368997,1830
2014-01-01,Oromiya,Millet,99867.65,18289921,1829
2005-01-01,Benushangul Gumuz,Maize,27412.0,50018800,1825
2017-01-01,Harari,Sorghum,7151.79,13052730,1825
2014-01-01,Tigray,Wheat,112818.67,205033333,1817
2014-01-01,DIRE DAWA,Sorghum,10001.74,18144939,1814
2006-01-01,S.N.N.P.R,Maize,206397.39,374015890,1812
2010-01-01,Tigray,Sorghum,155420.96,280858700,1807
2017-01-01,S.N.N.P.R,Barely,84037.3,151506493,1803
2010-01-01,Harari,Wheat,246.78,444621,1802
2011-01-01,Tigray,Barely,90648.61,163385776,1802
2019-01-01,Amhara,Teff,1200986.74,2161486185,1800
1996-01-01,Tigray,Sorghum,96140.0,172968000,1799
2004-01-01,Amhara,Maize,258195.0,464411500,1799
2013-01-01,Amhara,Millet,226547.4,407643895,1799
1998-01-01,Benushangul Gumuz,Maize,22050.0,39596000,1796
2018-01-01,Amhara,Teff,1138030.51,2039448271,1792
2019-01-01,Oromiya,Teff,1431869.73,2562868888,1790
2018-01-01,Tigray,Barely,94725.02,169417980,1789
2018-01-01,Oromiya,Teff,1443847.96,2581457748,1788
2016-01-01,Tigray,Millet,84280.34,150614872,1787
1998-01-01,Oromiya,Maize,577570.0,1031438000,1786
2010-01-01,Oromiya,Barely,542476.08,968563214,1785
2013-01-01,Amhara,Wheat,498192.03,888568580,1784
2000-01-01,Tigray,Maize,75550.0,134492000,1780
2004-01-01,S.N.N.P.R,Maize,216243.0,384842600,1780
2017-01-01,Tigray,Barely,95462.96,169572540,1776
2001-01-01,Benushangul Gumuz,Maize,26670.0,47378000,1776
2011-01-01,S.N.N.P.R,Barely,111756.36,198212782,1774
1999-01-01,S.N.N.P.R,Maize,162670.0,288330000,1772
2011-01-01,Oromiya,Barely,513707.03,908545120,1769
2013-01-01,Tigray,Millet,78663.67,139174988,1769
2011-01-01,Benushangul Gumuz,Sorghum,66575.66,117608868,1767
2008-01-01,S.N.N.P.R,Maize,248881.66,439811852,1767
2007-01-01,Oromiya,Wheat,809195.61,1427286259,1764
2016-01-01,S.N.N.P.R,Barely,80861.37,142437232,1761
1996-01-01,Gambela,Sorghum,4440.0,7813000,1760
2019-01-01,Harari,Sorghum,7991.36,14059021,1759
2011-01-01,Somalia,Maize,28094.49,49264060,1754
2010-01-01,Somalia,Sorghum,32704.78,57353549,1754
2007-01-01,Tigray,Maize,58613.21,102667972,1752
2012-01-01,Tigray,Millet,76654.62,133789707,1745
2005-01-01,Amhara,Maize,285242.0,497181600,1743
2006-01-01,Tigray,Maize,46192.02,293483263,1739
2009-01-01,Tigray,Maize,64275.12,111607170,1736
1999-01-01,Amhara,Maize,305410.0,528471000,1730
2011-01-01,DIRE DAWA,Sorghum,8851.57,15282952,1727
2013-01-01,Oromiya,Oats,21889.32,37806207,1727
2021-01-01,Somalia,Sorghum,45321.84,78293509,1727
2015-01-01,Amhara,Barely,362738.63,625622575,1725
1997-01-01,Oromiya,Sorghum,426420.0,734956000,1724
2014-01-01,S.N.N.P.R,Barely,76763.65,132356026,1724
2015-01-01,S.N.N.P.R,Barely,73614.79,126845014,1723
2011-01-01,Afar,Sorghum,2700.93,4643750,1719
2001-01-01,Amhara,Maize,377760.0,648883000,1718
2017-01-01,Oromiya,Teff,1441029.78,2473796379,1717
2004-01-01,Benushangul Gumuz,Maize,25677.0,44011400,1714
2002-01-01,Tigray,Maize,52217.67,89497201,1714
2011-01-01,Somalia,Wheat,4279.81,7336086,1714
2015-01-01,Tigray,Barely,99052.22,169542113,1712
2016-01-01,Tigray,Wheat,102847.97,176096635,1712
2002-01-01,S.N.N.P.R,Maize,191490.02,327037722,1708
2012-01-01,DIRE DAWA,Maize,219.02,374131,1708
2013-01-01,S.N.N.P.R,Sorghum,131516.72,224519380,1707
2009-01-01,Benushangul Gumuz,Wheat,2168.38,3700026,1706
2005-01-01,Oromiya,Wheat,765528.0,1302828800,1702
2001-01-01,S.N.N.P.R,Wheat,105790.0,180038000,1702
2017-01-01,Amhara,Teff,1137844.18,1932857365,1699
2008-01-01,Oromiya,Maize,5845.44,9917832,1697
2009-01-01,Tigray,Sorghum,180027.8,305566660,1697
2000-01-01,Amhara,Maize,309410.0,524905000,1696
2011-01-01,Gambela,Maize,6051.1,10245940,1693
2002-01-01,Tigray,Sorghum,114058.73,192349234,1686
2008-01-01,Oromiya,Sorghum,28288.56,47676122,1685
2001-01-01,S.N.N.P.R,Maize,344800.0,579274000,1680
2007-01-01,Oromiya,Sorghum,56344.65,945448494,1679
2020-01-01,Tigray,Teff,166718.86,279081158,1674
2012-01-01,Amhara,Wheat,460164.57,769486730,1672
2000-01-01,Benushangul Gumuz,Maize,29540.0,49354000,1671
1997-01-01,Amhara,Maize,316250.0,530125000,1670
2009-01-01,Amhara,Sorghum,547152.6,913119820,1669
2008-01-01,Gambela,Sorghum,3079.24,5126545,1665
2013-01-01,Benushangul Gumuz,Wheat,1770.9,2946056,1664
